temperature,humidity,AvN%(dry),AvP%(dry),AvK%(dry),moisture,season,rainfall,label
20.87974371,82.00274423,1.364771151,0.109570042,0.747572816,6.502985292,2,202.9355362,rice
21.77046169,80.31964408,2.479714286,0.267857143,0,7.038096361,2,226.6555374,rice
23.00445915,82.3207629,2.144,0.2,1.49,7.840207144,2,263.9642476,rice
26.49109635,80.15836264,3.322074074,0.310555556,2.8,6.980400905,2,242.8640342,rice
20.13017482,81.60487287,2.41770852,0.271053812,1.897746637,7.628472891,1,262.7173405,rice
23.05804872,83.37011772,2.192,0.295,1.4,7.073453503,1,251.0549998,rice
22.70883798,82.63941394,2.192,0.21,0,5.70080568,2,271.3248604,rice
20.27774362,82.89408619,3.364748858,0.368824201,2.239360731,5.718627178,2,241.9741949,rice
24.51588066,83.5352163,2.172886905,0.211071429,2.16,6.685346424,2,230.4462359,rice
23.22397386,83.03322691,1.792,0.14,0,6.336253525,1,221.2091958,rice
26.52723513,81.41753846,2.8,0.21,0,5.386167788,2,264.6148697,rice
23.97898217,81.45061596,3.206196721,0.27897541,2.608032787,7.50283396,2,250.0832336,rice
26.80079604,80.88684822,3.351777778,0.292777778,2.717777778,5.108681786,2,284.4364567,rice
24.01497622,82.05687182,2.952,0.31,3.1,6.98435366,2,185.2773389,rice
25.66585205,80.66385045,2.864,0.38,2.95,6.94801983,1,209.5869708,rice
24.28209415,80.30025587,3.288,0,0,7.042299069,2,231.0863347,rice
21.58711777,82.7883708,2.796419204,0.270739477,2.890978261,6.249050656,1,276.6552459,rice
23.79391957,80.41817957,2.528,0.4,2.88,6.970859754,2,206.2611855,rice
21.8652524,80.1923008,2.256,0,0,5.953933276,2,224.5550169,rice
23.57943626,83.58760316,2.208,0,0,5.85393208,1,291.2986618,rice
21.32504158,80.47476396,3.158580237,0.29166996,2.713478261,6.442475375,2,185.4974732,rice
25.15745531,83.11713476,2.496,0,0,5.070175667,1,231.3843163,rice
21.94766735,80.97384195,0,0.43,3.25,6.012632591,1,213.3560921,rice
21.0525355,82.67839517,3.487117588,0.343919598,2.267952261,6.254028451,2,233.1075816,rice
23.48381344,81.33265073,3.488,0.39,3.4,7.375482851,1,224.0581164,rice
25.0756354,80.52389148,3.376,0.375,3.39,7.778915154,2,257.0038865,rice
26.35927159,84.04403589,3.92,0,0,6.286500176,1,271.3586137,rice
24.52922681,80.54498576,2.78879558,0.261298343,2.119198895,7.070959995,2,260.2634026,rice
20.77576147,84.49774397,2.616,0.35,2.48,6.244841491,1,240.0810647,rice
22.30157427,80.64416466,2.856,0.285,1.92,6.043304899,2,197.9791215,rice
21.44653958,84.94375962,2.968,0.19,2.47,5.824709117,2,272.2017204,rice
22.17931888,80.33127223,3.054446409,0.228798343,2.344198895,6.357389366,1,200.0882787,rice
24.52783742,82.73685569,2.736,0.255,2.465,6.364134968,1,224.6757231,rice
20.26707606,81.63895217,3.168,0.255,2.54,5.01450727,2,270.4417274,rice
25.7354293,83.88266234,3.248,0.27,2.84,6.149410611,1,233.1321372,rice
26.79533926,82.1480873,2.618647514,0.238273481,1.764198895,5.950660556,2,193.3473987,rice
26.75754171,81.17734011,2.392,0.22,1.99,5.960370061,2,272.2999056,rice
23.86330467,83.15250801,2.592,0,0,5.561398642,2,285.2493645,rice
21.01944696,82.95221726,1.96,0,0,7.416245107,1,298.4018471,rice
24.17298839,83.7287574,2.805646409,0.251298343,1.779198895,5.583370042,1,257.0343554,rice
